29	-49	-115	19	16	-68	-2	75	20	-47	
4	-47	-115	18	16	-67	-1	79	21	-28	
6	-47	-123	19	16	-68	0	76	22	13	
28	-52	-119	18	15	-68	3	72	21	-20	
14	-62	-123	18	16	-66	1	73	17	-43	
-4	-74	-128	18	16	-70	1	72	20	-24	
-21	-92	-146	18	16	-68	3	78	21	3	
-16	-125	-160	18	16	-65	2	79	21	-24	
-24	-148	-176	19	16	-60	-1	73	19	-40	
-39	-174	-187	21	16	-62	1	73	20	-26	
-66	-206	-207	21	16	-68	-2	76	20	5	
-63	-228	-219	19	14	-67	0	78	18	-18	
-55	-256	-226	19	15	-69	0	72	19	-49	
-68	-280	-245	18	16	-67	1	75	20	-36	
-78	-302	-253	19	16	-63	3	75	21	10	
-82	-321	-265	19	15	-67	-1	78	21	-21	
-87	-341	-269	19	17	-68	-2	78	20	-49	
-108	-368	-277	18	17	-69	1	75	21	-11	
-122	-388	-293	19	16	-65	2	76	20	13	
-103	-406	-298	21	16	-66	4	73	20	-26	
-106	-432	-308	18	16	-64	3	77	17	-42	
-123	-445	-321	21	16	-66	1	77	21	-11	
-133	-461	-325	19	16	-68	1	77	18	3	
-131	-479	-320	21	17	-67	0	76	18	-27	
-126	-495	-344	18	20	-69	1	76	22	-38	
-143	-507	-354	22	17	-61	3	76	21	-9	
-149	-530	-349	19	16	-64	3	81	21	-5	
-162	-548	-352	19	16	-65	3	75	21	-40	
-141	-580	-357	18	17	-60	0	76	21	-31	
-155	-602	-360	21	19	-60	-1	79	18	-6	
-194	-619	-372	21	18	-63	0	81	20	-15	
-190	-638	-383	19	23	-61	0	81	21	-37	
-169	-643	-390	19	17	-58	1	82	18	-18	
-183	-656	-394	21	20	-60	2	81	14	-3	
-197	-679	-399	21	18	-59	1	83	18	-20	
-200	-711	-413	19	22	-59	-2	82	21	-28	
-188	-720	-407	21	19	-58	3	82	20	-20	
-187	-720	-399	21	21	-55	3	83	20	-7	
-186	-732	-391	22	23	-57	2	79	15	-25	
-213	-755	-398	19	21	-60	-1	95	18	-34	
-211	-774	-414	22	23	-57	0	86	18	-24	
-211	-781	-445	19	24	-54	2	89	18	-7	
-200	-795	-444	22	26	-51	6	89	18	-37	
-214	-806	-452	21	26	-55	2	85	15	-31	
-188	-822	-467	24	27	-54	-1	82	18	0	
-176	-825	-463	22	26	-53	2	86	21	-18	
-181	-841	-474	19	30	-49	4	85	17	-37	
-214	-851	-422	21	28	-41	0	86	15	-18	
-235	-862	-432	21	30	-42	2	88	20	-7	
-231	-879	-462	18	30	-39	4	90	18	-16	
-191	-873	-463	19	34	-40	0	93	18	-34	
-182	-877	-454	19	36	-38	-1	95	15	-22	
-236	-880	-458	25	38	-37	0	93	17	-8	
-276	-896	-455	16	35	-35	3	98	17	-18	
-259	-904	-461	16	37	-39	2	99	14	-36	
-215	-914	-473	18	36	-38	-5	102	12	-18	
-190	-913	-469	22	39	-40	0	102	14	-8	
-245	-912	-458	21	38	-44	2	102	12	-28	
-270	-913	-453	22	38	-38	-1	104	12	-36	
-211	-942	-463	19	43	-37	0	108	12	-11	
-163	-930	-463	22	42	-36	3	104	15	-12	
-216	-932	-453	21	43	-40	0	104	11	-36	
